Timestamp,Items Sold,Total,Amount Paid,Payment Method,Cost
--- SESSION START: 2026-02-01 ---,-,-,-,-,-
2026-02-01 10:52:28,iPhone Case(Model: Iphone 15) | Pants(Large - Black),650.00,650.00,Cash,360.00
2026-02-01 11:42:01,Notebook(80L) | iPhone Case(Model: Iphone 15),180.00,200.00,Cash,78.00
2026-02-01 15:23:46,iPhone Case(Model: Iphone 15),150.00,150.00,Cash,60.00
2026-02-01 16:06:46,iPhone Case(Model: Iphone 15),150.00,150.00,Cash,60.00
2026-02-01 17:48:50,Notebook(80-leaves),30.00,50.00,Cash,18.00
2026-02-01 17:58:02,iPhone Case(Model: Iphone 15) | Notebook(80L) | iPhone Case(Iphone 15),330.00,350.00,Cash,138.00
2026-02-01 19:57:11,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-01 20:09:10,iPhone Case(Iphone 15) | Notebook(80L) | Notebook(80L),210.00,210.00,Cash,96.00
--- SESSION START: 2026-02-02 ---,-,-,-,-,-
2026-02-02 09:21:36,Notebook(80L) | Notebook(80-leaves),60.00,60.00,Cash,36.00
2026-02-02 12:29:47,Notebook(80L) | Toothpaste(Colgate) | Notebook(80-leaves),80.00,100.00,Cash,48.00
2026-02-02 13:07:14,iPhone Case(Iphone 15) | Notebook(80-leaves) | iPhone Case(Iphone 15),330.00,350.00,Cash,138.00
2026-02-02 14:22:50,iPhone Case(Iphone 15) | Notebook(80L),180.00,200.00,Cash,78.00
2026-02-02 15:30:29,Pants(Large - Black) | Pants(Large - Black),1000.00,1000.00,Cash,600.00
2026-02-02 19:46:53,Pants(Large - Black) | Pants(Large - Black) | Notebook(80-leaves) | Notebook(80-leaves),1060.00,1100.00,Cash,636.00
--- SESSION START: 2026-02-03 ---,-,-,-,-,-
2026-02-03 09:15:18,Toothpaste(Colgate) | iPhone Case(Iphone 15),170.00,200.00,Cash,72.00
2026-02-03 12:26:10,Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15),320.00,350.00,Cash,132.00
2026-02-03 12:46:26,Toothpaste(Colgate) | Notebook(80L) | Notebook(80L),80.00,100.00,Cash,48.00
2026-02-03 15:04:40,Pants(Large - Black) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),670.00,700.00,Cash,372.00
2026-02-03 18:39:25,Notebook(80L),30.00,30.00,Cash,18.00
2026-02-03 20:41:45,iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15) | iPhone Case(Iphone 15),600.00,600.00,Cash,240.00
--- SESSION START: 2026-02-04 ---,-,-,-,-,-
2026-02-04 12:18:29,Toothpaste(Colgate) | iPhone Case(Iphone 15),170.00,170.00,Cash,72.00
2026-02-04 14:10:14,Notebook(80L) | Notebook(80L),60.00,60.00,Cash,36.00
2026-02-04 15:01:31,Notebook(80-leaves) | Toothpaste(Colgate) | Notebook(80L) | Pants(Large - Black),580.00,600.00,Cash,348.00
2026-02-04 16:28:09,iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15),450.00,450.00,Cash,180.00
2026-02-04 17:45:57,Pants(Large - Black) | iPhone Case(Iphone 15) | Toothpaste(Colgate),670.00,670.00,Cash,372.00
2026-02-04 20:13:28,Toothpaste(Colgate),20.00,20.00,Cash,12.00
2026-02-04 20:23:59,Notebook(80L) | Notebook(80L),60.00,100.00,Cash,36.00
--- SESSION START: 2026-02-05 ---,-,-,-,-,-
2026-02-05 08:48:16,Pants(Large - Black) | Toothpaste(Colgate) | Notebook(80-leaves),550.00,550.00,Cash,330.00
